title,locations
dekker-ford-the-sun-s-darling,"['France', 'Kingdom', 'England', 'Asia', 'Toledo']"
dekker-haughton-day-lust-s-dominion,"['France', 'States', 'Barbaria', 'Madrid', 'Kingdom', 'Spain', 'Jerusalem', 'Arragon']"
dekker-if-it-be-not-good-the-devil-is-in-it,"['Ierusalem', 'Calabria', 'Rotterdam', 'Naples', 'Turky']"
dekker-massinger-the-virgin-martyr,"['Iland', 'Rome', 'Greece', 'Europa', 'Troy', 'Tempe']"
dekker-match-me-in-london,"['Venice', 'Virginia', 'France', 'City', 'Spaine', 'Sivill']"
dekker-middleton-the-bloody-banquet,[]
dekker-middleton-the-honest-whore-1,"['Holland', 'Bethlem']"
dekker-middleton-the-roaring-girl,"['Venice', 'Iland', 'Virginia', 'France', 'Braineford', 'London', 'Italy', 'England', 'Bononia', 'Bolonia']"
dekker-old-fortunatus,[]
dekker-rowley-ford-the-witch-of-edmonton,"['Germany', 'London', 'Italy', 'Paris']"
dekker-satiromastix,"['Venice', 'England', 'Orient']"
dekker-the-honest-whore-2,"['France', 'Gelderland', 'Italy', 'Rome', 'Cleueland', 'Holland', 'Ireland', 'England']"
dekker-the-noble-spanish-soldier,[]
dekker-the-shoemaker-s-holiday,"['France', 'London', 'Europe', 'Finsbury', 'Douer', 'England', 'Troy']"
dekker-the-wonder-of-a-kingdom,"['Florence', 'France', 'Troy']"
dekker-webster-northward-ho,"['Iland', 'France', 'States', 'London', 'Europe', 'Barbary', 'Italy', 'Cleueland', 'Lancashire', 'Holland', 'Ireland', 'Wales', 'England', 'Turkey']"
dekker-webster-the-famous-history-of-sir-thomas-wyatt,"['Iland', 'France', 'Ireland', 'London', 'Cambridge', 'England', 'Spaine']"
dekker-webster-westward-ho,"['Germany', 'France', 'Braineford', 'London', 'Italy', 'Salsbury', 'Neopolitan', 'Putney', 'Shoredich', 'Lancashire', 'Troy', 'Ireland', 'England']"
denham-the-sophy,"['States', 'Persia', 'Asia']"
drue-the-duchess-of-suffolk,"['Germany', 'Emden', 'States', 'London', 'Cambridge', 'Rome', 'Poland', 'Marshalsea', 'Dover', 'England', 'Algate']"
field-a-woman-is-a-weathercock,[]
field-amends-for-ladies,"['France', 'England', 'Troy']"
field-fletcher-massinger-the-knight-of-malta,[]
field-fletcher-massinger-the-queen-of-corinth,"['States', 'Corinth', 'Europe', 'Italy', 'Sparta', 'Greece', 'Rye', 'Hungary', 'Spain']"
field-massinger-fletcher-the-honest-man-s-fortune,"['Paris', 'France', 'Troy']"
field-massinger-the-fatal-dowry,"['France', 'Europe', 'Delphos']"
fisher-fuimus-troes,"['Germany', 'Iland', 'Italy', 'Rome', 'Greece', 'Asia', 'Troy', 'Alpes', 'South', 'Rhine', 'Nile', 'Tempe']"
fletcher-a-wife-for-a-month,"['Naples', 'Kingdom']"
fletcher-beaumont-the-captain,"['Paris', 'States', 'Jndies']"
fletcher-beaumont-the-noble-gentleman,"['Virginia', 'Paris', 'France', 'States', 'Italy', 'England', 'Orient', 'Spaine']"
fletcher-bonduca,[]
fletcher-field-four-plays,"['Lisbon', 'States', 'Rome', 'Athens', 'Milain']"
fletcher-ford-massinger-webster-the-fair-maid-of-the-inn,"['Germany', 'Holland', 'Jtaly', 'Florence', 'Genoas', 'Island', 'Alberto', 'London', 'Europe', 'Italy', 'Arabia', 'Rome', 'Geneva', 'England', 'Greece', 'Amsterdam', 'Poland', 'Troy', 'Spaine', 'Malta']"
fletcher-massinger-a-very-woman,"['Paris', 'France', 'States', 'Kingdom', 'Sicily', 'Spain', 'Malta', 'Palermo']"
fletcher-massinger-the-bloody-brother-rollo-duke-of-normandy,"['England', 'Normandy', 'Troy']"
fletcher-massinger-the-custom-of-the-country,"['Lisbon', 'Lisborne', 'Italy', 'Rome']"
fletcher-massinger-the-double-marriage,"['City', 'Naples', 'Italy', 'Kingdom', 'Births']"
fletcher-massinger-the-elder-brother,"['Venice', 'Iland', 'France', 'Rome', 'Geneva', 'Paris', 'Naples', 'Toledo']"
fletcher-massinger-the-false-one,[]
